expiry,forward,discount,n_quotes,alpha,beta,rho,nu,atm_vol,rmse,converged,obs_date
2022-05-27,413.2685273487558,0.999654450487439,85,0.28448460431510697,1.0,-0.7945120714935233,2.5009648960946573,0.2841963002964504,0.0034131111987803016,True,2022-04-29
2022-06-30,411.3638918715669,0.9992532444675717,107,0.24394630597882536,1.0,-0.7622879984464015,1.6130182506015769,0.24166027557542485,0.0034175287757243346,True,2022-05-31
2022-07-29,376.82107961985446,0.9987547652481507,105,0.2603945933018736,1.0,-0.6068559118837444,1.8096524592063459,0.2707653011430645,0.00385095557672183,True,2022-06-30
2022-08-29,412.641450617477,0.998034464083375,81,0.18075526497353087,1.0,-0.4710055523398953,2.2610762336308454,0.19310697305256572,0.004071966557667686,True,2022-07-29
2022-09-30,394.609782850614,0.9979429754093417,131,0.23287359926924842,1.0,-0.635072629702845,1.9979314568496056,0.24524913465380396,0.003650755436303007,True,2022-08-31
2022-10-31,358.94490529842153,0.9973736836355677,80,0.27194738809988594,1.0,-0.6009064400006655,1.856602054754122,0.2872020131555549,0.007273485796917381,True,2022-09-30
2022-11-30,387.4641169404457,0.9971881068158077,46,0.23631012798415488,1.0,-0.40563091897416786,1.6973605401825682,0.25362447601074617,0.008660536090129607,True,2022-10-31
2022-12-30,407.92839483587466,0.9967204050270206,125,0.18154989338582753,1.0,-0.463621276263619,2.1325901700477154,0.20069514814539055,0.007084058767368646,True,2022-11-30
2023-01-27,383.90219425514147,0.9966793555001399,87,0.1971503854091471,1.0,-0.4511458383392222,1.7420619684539156,0.21902351539415085,0.009202622058121737,True,2022-12-30
2023-03-03,407.8364288045125,0.9962364469289944,84,0.16521927436635936,1.0,-0.4860665762209989,2.2332243176883186,0.1880052143637369,0.007487281521881246,True,2023-01-31
2023-03-31,396.12617157970715,0.9960502713531727,95,0.18593239837382283,1.0,-0.5915222363026627,1.7265796501567718,0.17639129003896983,0.0070359728004426095,True,2023-02-28
2023-04-28,410.9167796226926,0.9962756522300472,86,0.1547268287507342,1.0,-0.47181738596571565,2.5273834624124727,0.17831525772380932,0.007137221879743378,True,2023-03-31
2023-05-26,417.68945089205044,0.9962506286464747,74,0.12228659320705812,1.0,-0.4886402860592269,3.006020654433937,0.11580938415053964,0.0066906254082460355,True,2023-04-28
2023-06-30,418.5135167360942,0.9957176461896156,105,0.1299657433341156,1.0,-0.570028371141685,3.2044738701320656,0.15134062512892416,0.005810908218014256,True,2023-05-31
2023-07-28,444.91564276228894,0.9960252330209419,77,0.09356544078220162,1.0,-0.21792094101005235,3.5587313220335397,0.12415273123667638,0.008924104083274119,True,2023-06-30
2023-09-01,460.27000790627153,0.9952835409993102,81,0.09941051881690778,1.0,-0.27365119932846976,3.159958215712562,0.09691406093880248,0.00945308764617495,True,2023-07-31
2023-09-29,451.37547382802273,0.9957286194341125,118,0.09765942929550842,1.0,-0.3258367317156294,3.370264909204151,0.09946796362390524,0.007637080434108024,True,2023-08-31
2023-10-27,429.3074867320346,0.9958800060242694,77,0.14601870394716673,1.0,-0.4837507159686433,2.5560762769510785,0.13743524329583176,0.012078883583191103,True,2023-09-29
2023-12-01,419.78882889468014,0.9953990244583407,77,0.15560732013658035,1.0,-0.4858671308395832,2.225789254629154,0.18131168974800413,0.010738275699393942,True,2023-10-31
2023-12-29,457.08781961040205,0.9957447050794602,118,0.09235880688246327,1.0,-0.31077005210220937,3.439418319871894,0.09782355069207051,0.006845404386558811,True,2023-11-30
2024-01-26,477.25422216488374,0.9958768105065597,77,0.08723445944248666,1.0,0.04780203696636345,3.8315557517171013,0.08700324187816476,0.00820332477711693,True,2023-12-29
2024-03-01,485.7270849507942,0.9956106480921698,71,0.10368115007208958,1.0,-0.07820427497668905,3.5409442277511385,0.13683831072859365,0.009981562820834877,True,2024-01-31
2024-03-28,509.0996358736786,0.9958975074852422,131,0.090272101062757,1.0,-0.19545883048853468,3.751946874540989,0.09660693796222268,0.009087226185239178,True,2024-02-29
2024-04-26,525.5706440739692,0.995736793714602,73,0.08841769605678731,1.0,-0.0347859581393934,3.7833380122879614,0.12257930791342567,0.009881482492117512,True,2024-03-28
2024-05-31,504.81444678572757,0.9954412020474841,137,0.12206540675797928,1.0,-0.3319668732085698,2.778562866492823,0.1538305549572436,0.010319863090440112,True,2024-04-30
2024-06-28,528.9772963685737,0.9958845136262863,127,0.09143276565798045,1.0,-0.32346871434316377,3.4937061044909425,0.12052884870081088,0.008550504234261751,True,2024-05-31
2024-07-26,547.4558093121204,0.9958852966390451,75,0.08846711968966536,1.0,-0.09814614554078689,3.6100596756343233,0.0871363733968462,0.008645717393150268,True,2024-06-28
2024-08-30,554.3378247965661,0.9955799562687179,127,0.12754600784491243,1.0,-0.2639937159444407,3.0197710115183245,0.1271330540595886,0.008543342605523052,True,2024-07-31
2024-09-30,564.570667145374,0.9955227520156127,116,0.09593944811942097,1.0,-0.35769588184073453,3.6118229062133174,0.12314150705926453,0.006682738670507861,True,2024-08-30
2024-10-31,575.8178395494756,0.9958609207429423,136,0.11135901307367314,1.0,-0.30963803262746675,3.526428407748021,0.14162400802574107,0.006692735860831992,True,2024-09-30
2024-11-29,571.8833454846546,0.9961782606776118,158,0.1713212155023564,1.0,-0.5811652933761281,3.022331235982585,0.19916425285348915,0.009520010050573817,True,2024-10-31
2024-12-27,603.8371171123352,0.9964873828291125,81,0.08469319407700715,1.0,-0.29808871510223534,4.03367235408408,0.1104277174991,0.0075509864475060955,True,2024-11-29
2025-01-31,588.8562231055652,0.9962275873329131,155,0.12273768962981411,1.0,-0.46934013766267596,3.0905147280769674,0.15358218879200983,0.009719603646545668,True,2024-12-31
2025-02-28,603.804543158754,0.9966616496881836,146,0.12054112125964792,1.0,-0.49093951971471267,3.113036565795386,0.14675715242284684,0.008790875781228035,True,2025-01-31
2025-03-31,594.6024661613503,0.9962981381526934,160,0.14603559748038145,1.0,-0.6348682939214496,2.838819886659196,0.16644089451414415,0.007460980641935764,True,2025-02-28
2025-04-30,560.0044741759507,0.9964055874777926,100,0.18097322356772155,1.0,-0.6853356211046476,2.3252053249719022,0.1718598772095605,0.009760034237798542,True,2025-03-31
2025-05-30,558.3663954691698,0.996408219053722,102,0.20858038118038438,1.0,-0.6717774758097561,2.314912804071641,0.19803684881208813,0.006564140406255352,True,2025-04-30
2025-06-30,590.3088804312881,0.9963094830032787,133,0.1448354006274934,1.0,-0.5375946635590125,2.754694826814186,0.13888181721716378,0.004769536980758549,True,2025-05-30
2025-07-31,619.688386007642,0.9962389313801359,147,0.12444929729308153,1.0,-0.35659885281805354,3.1226916193984326,0.1509930987529856,0.007460325481797239,True,2025-06-30
2025-08-29,634.1305143350785,0.996513217798002,119,0.12320451343970461,1.0,-0.48140522297106486,3.2540314733776725,0.1193450919083454,0.006446522889103762,True,2025-07-31
2025-09-26,645.7484411751392,0.9967013823081248,92,0.11007496152273465,1.0,-0.5313797372582393,3.427200326550464,0.13042857576988595,0.006364622362884067,True,2025-08-29
2025-10-31,667.6129610817378,0.9964672695130073,184,0.12135028250856263,1.0,-0.5409288909790715,3.163289556928432,0.1439251873768747,0.0066158505434238245,True,2025-09-30
2025-11-28,684.4532223354042,0.9968434669159973,176,0.13272040208343283,1.0,-0.45978401673376507,3.163726231840375,0.1310666985691392,0.006101871914818662,True,2025-10-31
2025-12-26,684.1038447745566,0.9968993489101953,89,0.12589318268529473,1.0,-0.5033104453778112,3.129891268465731,0.12465568829365747,0.005855352760025435,True,2025-11-28
2025-12-31,681.3817236862202,0.996701025276312,171,0.13087787493426675,1.0,-0.5030728750026225,3.096256433752309,0.13236641305576072,0.004513473791222167,True,2025-12-01
